Date,hashrate
1462147200000,1394348.38048107
1462060800000,1376585.98073
1461974400000,1296655.18185
1461888000000,1403229.58035675
1461801600000,1207843.18309
1461715200000,1145796.94382
1461628800000,1341204.17454499
1461542400000,1128032.65011
1461456000000,1172443.38437
1461369600000,1279029.14658595
1461283200000,1270146.99973
1461196800000,1341204.17454
1461110400000,1465554.23046307
1461024000000,1332322.0277
1460937600000,1199089.82493
1460851200000,1358968.46825281
1460764800000,1270146.99974
1460678400000,1287911.29344
1460592000000,1465554.23046872
1460505600000,1302194.693
1460419200000,1260723.52444
1460332800000,1252429.29072319
1460246400000,1443196.66613
1460160000000,1343665.86157
1460073600000,1169486.9535892
1459987200000,1210958.12216
1459900800000,1285606.22558
1459814400000,1235840.82329639
1459728000000,1360254.329
1459641600000,1219252.35587
1459555200000,1244135.05700979
1459468800000,1136310.01874
1459382400000,1028361.53707
1459296000000,1308075.8751558
1459209600000,1398571.69042
1459123200000,1168218.70611
1459036800000,1258714.52137634
1458950400000,1209353.1676
1458864000000,1192899.383
1458777600000,1242260.73678319
1458691200000,1242260.73678
1458604800000,1225806.95219
1458518400000,1036588.42936875
1458432000000,1242260.73678
1458345600000,1110630.46004
1458259200000,1135311.13692768
1458172800000,1063186.96715
1458086400000,1338828.03271
1458000000000,1197069.77042369
1457913600000,1197069.77042
1457827200000,1189194.31141
1457740800000,1141941.55731207
1457654400000,1283699.8196
1457568000000,1267948.90157
1457481600000,1299450.73763098
1457395200000,1055311.50814
1457308800000,1220696.14747
1457222400000,1094688.8032164
1457136000000,1292227.06539
1457049600000,1235336.56565
1456963200000,1080919.49494659
1456876800000,1275972.63689
1456790400000,1040283.42371
1456704000000,1097173.92344203
1456617600000,1210954.92291
1456531200000,1064665.06645
1456444800000,1219082.13715781
1456358400000,1178446.06592
1456272000000,999647.352469
1456185600000,1097173.92344203
1456099200000,1056537.8522
1456012800000,1024028.99521
1455926400000,1284099.85113956
1455840000000,1129682.78043
1455753600000,1289532.1465
1455667200000,1002969.44727786
1455580800000,1067446.0546
1455494400000,1060281.98712
1455408000000,1289532.14650011
1455321600000,1096102.32453
1455235200000,1139086.72941
1455148800000,1375500.95626678
1455062400000,1210727.40421
1454976000000,1210727.40421
1454889600000,1153414.86436954
1454803200000,1303860.28146
1454716800000,1139675.93811
1454630400000,1074040.15109727
1454544000000,1103874.59974
1454457600000,1038238.81273
1454371200000,978569.91544418
1454284800000,1050172.59218
1454198400000,1068073.26137
1454112000000,1056139.48191232
1454025600000,1014371.25381
1453939200000,883099.679791
1453852800000,918901.018160999
1453766400000,978569.915444
1453680000000,974832.995578
1453593600000,935388.885930294
1453507200000,1008642.23242
