Open Time,Open,High,Low,Close,Volumn,Close Time,Quote Asset Volumn,Number of Trades,Taker Buy Base Asset Volumn,Taker Buy Quote Asset Volumn,Ignore,Date Time
1601596800000,10619.13,10664.64,10374.0,10570.4,50130.393705,1601683199999,526864379.3093653,777193,24123.902545,253507685.50358704,0.0,2020-10-02 00:00:00+00:00
1601683200000,10570.4,10603.56,10496.46,10542.06,22298.221341,1601769599999,235160884.60853615,381329,10752.462882,113392722.762172,0.0,2020-10-03 00:00:00+00:00
1601769600000,10542.07,10696.87,10517.87,10666.63,23212.001595,1601855999999,246252050.90681073,377553,12123.27565,128619845.13152087,0.0,2020-10-04 00:00:00+00:00
1601856000000,10666.62,10798.0,10615.64,10792.21,34025.761653,1601942399999,364158510.23798054,483340,15551.584387,166457546.86846152,0.0,2020-10-05 00:00:00+00:00
1601942400000,10792.2,10800.0,10525.0,10599.66,48674.740471,1602028799999,520051256.0821992,734526,23189.6899,247740447.636706,0.0,2020-10-06 00:00:00+00:00
1602028800000,10599.65,10681.87,10546.17,10666.39,32811.990279,1602115199999,348298562.85686266,503440,15783.355684,167548410.82933536,0.0,2020-10-07 00:00:00+00:00
1602115200000,10666.4,10950.0,10530.41,10925.57,51959.691572,1602201599999,559311760.4414803,659291,26482.599529,285240420.957764,0.0,2020-10-08 00:00:00+00:00
1602201600000,10925.44,11104.64,10829.0,11050.64,48240.073237,1602287999999,530822321.51623464,635681,25658.631396,282409996.0093115,0.0,2020-10-09 00:00:00+00:00
1602288000000,11050.64,11491.0,11050.51,11293.22,43648.036943,1602374399999,494785212.2308736,698561,22807.204651,258432465.7904096,0.0,2020-10-10 00:00:00+00:00
1602374400000,11293.22,11445.0,11221.0,11369.02,29043.851339,1602460799999,329927755.03808504,509714,14470.444269,164384653.13411286,0.0,2020-10-11 00:00:00+00:00
1602460800000,11369.02,11720.01,11172.0,11528.25,52825.28371,1602547199999,604779845.7920177,740823,26865.929321,307665447.3392344,0.0,2020-10-12 00:00:00+00:00
1602547200000,11528.24,11557.0,11300.0,11420.56,42205.283709,1602633599999,482663390.72403574,618262,19346.158605,221257357.56527472,0.0,2020-10-13 00:00:00+00:00
1602633600000,11420.57,11547.98,11280.0,11417.89,41415.106015,1602719999999,472007015.72093433,590025,19070.057307,217375960.3109474,0.0,2020-10-14 00:00:00+00:00
